Source Name	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Comment[EGA_SAMPLE]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[sex]	Characteristics[metastasis site]	Comment[COSMIC_ID]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Comment[EGA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Comment[EGA_RUN]	Comment[SUBMITTED_FILE_NAME]	Comment[ANALYSIS_FILE_NAME]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
143b	143b-sc-2152824	ERS570550	EGAN00001236645	Homo sapiens	NCBI Taxonomy	9606	143b	bone	osteosarcoma	female	  	906796	P-MTAB-68143	12341569_ERX716525	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX716525	sequencing assay	ERX716525	EGAX00001274802	ERR773646	ERR773646	EGAR00001302640	14771_2.cram	HUMAN_37_RNA_seq_143B_14771_2.ua.bam	143b	bone	osteosarcoma
201T	201T-sc-2152831	ERS570557	EGAN00001236652	Homo sapiens	NCBI Taxonomy	9606	201T	lung	non-small cell lung adenocarcinoma	not available	  	1287381	P-MTAB-68143	12164695_ERX702623	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702623	sequencing assay	ERX702623	EGAX00001269823	ERR757993	ERR757993	EGAR00001295966	14628_1.cram	HUMAN_37_RNA_seq_201T_14628_1.ua.bam	201T	lung	non-small cell lung adenocarcinoma
451Lu	451Lu-sc-2188487	ERS622628	EGAN00001252803	Homo sapiens	NCBI Taxonomy	9606	451Lu	skin	melanoma	not available	  	1287706	P-MTAB-68143	12790143_ERX945379	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945379	sequencing assay	ERX945379	EGAX00001293393	ERR865751	ERR865751	EGAR00001322098	15295_1.cram	HUMAN_37_RNA_seq_451Lu_15295_1.ua.bam	451Lu	skin	melanoma
A388	A388-sc-2188488	ERS622629	EGAN00001252804	Homo sapiens	NCBI Taxonomy	9606	A388	skin	squamous cell carcinoma	male	lymph node	910697	P-MTAB-68143	12790144_ERX945380	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945380	sequencing assay	ERX945380	EGAX00001293394	ERR865752	ERR865752	EGAR00001322099	15295_2.cram	HUMAN_37_RNA_seq_A388_15295_2.ua.bam	A388	skin	squamous cell carcinoma
A427	A427-sc-2152832	ERS570558	EGAN00001236653	Homo sapiens	NCBI Taxonomy	9606	A427	lung	non-small cell lung carcinoma	male	  	910851	P-MTAB-68143	12164696_ERX702624	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702624	sequencing assay	ERX702624	EGAX00001269824	ERR757994	ERR757994	EGAR00001295967	14628_2.cram	HUMAN_37_RNA_seq_A427_14628_2.ua.bam	A427	lung	non-small cell lung carcinoma
A431	A431-sc-2188489	ERS622630	EGAN00001252805	Homo sapiens	NCBI Taxonomy	9606	A431	skin	carcinoma	female	  	910925	P-MTAB-68143	12790145_ERX945381	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945381	sequencing assay	ERX945381	EGAX00001293395	ERR865753	ERR865753	EGAR00001322100	15295_3.cram	HUMAN_37_RNA_seq_A431_15295_3.ua.bam	A431	skin	carcinoma
A431	A431-sc-2188489	ERS622630	EGAN00001252805	Homo sapiens	NCBI Taxonomy	9606	A431	skin	carcinoma	female	  	910925	P-MTAB-68143	12790145_ERX955619	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX955619	sequencing assay	ERX955619	EGAX00001295978	ERR876056	ERR876056	EGAR00001324692	15367_6.cram	HUMAN_37_RNA_seq_A431_15367_6.ua.bam	A431	skin	carcinoma
ACN	  	  	EGAN00001266282	Homo sapiens	NCBI Taxonomy	9606	ACN	peripheral nervous system	neuroblastoma	male	bone marrow	906803	P-MTAB-68143	Extract_ACN	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ACN	sequencing assay	  	  	ERR983925	ERR983925	EGAR00001343434	16192_4.cram	HUMAN_37_RNA_seq_ACN_16192_4.ua.bam	ACN	peripheral nervous system	neuroblastoma
ALL-PO	ALL_PO-sc-2237126	ERS666940	EGAN00001266058	Homo sapiens	NCBI Taxonomy	9606	ALL-PO	hematopoietic system	acute lymphoblastic leukemia	female	  	910944	P-MTAB-68143	13355128_ERX1027383	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX1027383	sequencing assay	ERX1027383	EGAX00001306562	ERR948398	ERR948398	EGAR00001336068	15863_1.cram	HUMAN_37_RNA_seq_ALL-PO_15863_1.ua.bam	ALL-PO	hematopoietic system	acute lymphoblastic leukemia
ARH-77	  	  	EGAN00001253244	Homo sapiens	NCBI Taxonomy	9606	ARH-77	hematopoietic system	plasma cell leukemia	female	  	906765	P-MTAB-68143	Extract_ARH-77	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_ARH-77	sequencing assay	  	  	ERR1011789	ERR1011789	EGAR00001349477	16437_3.cram	HUMAN_37_RNA_seq_ARH-77_16437_3.ua.bam	ARH-77	hematopoietic system	plasma cell leukemia
